theoretical_point_id,type,x1,x2,x3,x4,d3,d4,d5,d6,d7,d8
TP_001,saddle,0.507030772828217,-0.917350578608486,0.507030772828217,-0.917350578608486,0.45791441532324395,0.42378991650232,0.4263750211034138,0.43386331791640276,0.43750080808555863,0.43718624352252056
TP_002,saddle,0.507030772828217,-0.917350578608486,0.74115190368376,-0.741151903683748,0.3397166409722665,0.32130030304414936,0.30426740473015973,0.31235856232643866,0.31640227568910984,0.3160504775113454
TP_003,saddle,0.507030772828217,-0.917350578608486,0.917350578608475,-0.50703077282823,0.4579144153232253,0.4237899165022944,0.4263750211033952,0.43386331791638166,0.43750080808551073,0.4371862435224683
TP_004,saddle,0.74115190368376,-0.741151903683748,0.507030772828217,-0.917350578608486,0.33971664097226495,0.32130030304415386,0.30426740473016367,0.31235856232644404,0.3164022756891323,0.31605047751137266
TP_005,min,0.74115190368376,-0.741151903683748,0.74115190368376,-0.741151903683748,0.14535879934193952,0.16392033474674184,0.05797972526253836,0.08305639219140887,0.09388206989086006,0.0929730990393643
TP_006,saddle,0.74115190368376,-0.741151903683748,0.917350578608475,-0.50703077282823,0.3397166409722398,0.32130030304412,0.3042674047301375,0.31235856232641473,0.31640227568906604,0.3160504775113004
TP_007,saddle,0.917350578608475,-0.50703077282823,0.507030772828217,-0.917350578608486,0.4579144153232229,0.4237899165023049,0.4263750211033988,0.4338633179163876,0.437500808085541,0.4371862435225049
TP_008,saddle,0.917350578608475,-0.50703077282823,0.74115190368376,-0.741151903683748,0.33971664097223814,0.3213003030441294,0.3042674047301387,0.3123585623264176,0.31640227568908547,0.31605047751132376
TP_009,saddle,0.917350578608475,-0.50703077282823,0.917350578608475,-0.50703077282823,0.4579144153232043,0.42378991650227926,0.4263750211033802,0.4338633179163665,0.4375008080854931,0.43718624352245267
AVERAGE,-,NaN,NaN,NaN,NaN,0.3706536693915384,0.3493645792147214,0.33117215873296957,0.34088265701807363,0.34549937833215083,0.3451022203527392
